date,n100_v1_r5,n100_v1_r10,n100_v1_r20,n100_v1_r40,n100_v1_r60,n100_v2_r5,n100_v2_r10,n100_v2_r20,n100_v2_r40,n100_v2_r60,n100_v3_r5,n100_v3_r10,n100_v3_r20,n100_v3_r40,n100_v3_r60,n100_v4_r5,n100_v4_r10,n100_v4_r20,n100_v4_r40,n100_v4_r60,mid_v1_r5,mid_v1_r10,mid_v1_r20,mid_v1_r40,mid_v1_r60,mid_v2_r5,mid_v2_r10,mid_v2_r20,mid_v2_r40,mid_v2_r60,mid_v3_r5,mid_v3_r10,mid_v3_r20,mid_v3_r40,mid_v3_r60,mid_v4_r5,mid_v4_r10,mid_v4_r20,mid_v4_r40,mid_v4_r60
2024-08-12,5805006.7417883985,7309098.664296048,8309777.398471053,7091388.4121434,5918184.6334673,3438665.0976982503,4127247.3802616484,5151430.297411948,4301109.670541847,3628250.5671395995,7224624.795133352,8089584.809038802,6943432.197837198,7714509.46974125,6771530.494066199,4075509.2788354503,4487247.30215195,4843051.49472275,5210242.4492156,3752456.8689790484,11383750.430693498,12118324.614796301,12744927.516226446,11146576.599148696,15938426.375781199,5777013.316716149,5997740.397543353,5592946.332420751,6912928.877086898,8114462.946575848,13272471.76985275,17580466.65949045,16629015.875397198,25392508.010637853,17945574.046002198,6633984.502303348,8610889.93022915,6819616.434205903,10918757.9229001,9260668.056037601
2024-08-13,5724938.001788399,7202308.474296046,8218388.584771053,6963233.1871434,5843507.534667302,3413448.4876982505,4090928.6602616487,5115129.832211949,4243433.819541847,3603062.8293395997,7158508.355133351,7984288.2490388015,6820175.392537197,7501537.64634125,6669399.318766199,4046261.998835451,4452789.342151949,4795216.803622751,5098302.3866156,3714170.1366790486,11376322.730693499,12135706.154796302,12762083.966226446,11039395.459148698,15898455.625781197,5796808.876716149,6025936.037543352,5639276.232420752,6917255.017086898,8080207.346575849,13331426.16985275,17524310.33949045,16751460.375397198,25263814.30063785,17884384.1960022,6610880.242303348,8564697.300229149,6852200.034205902,10862512.822900098,9194979.656037599
2024-08-14,5743181.381788399,7231664.874296049,8297722.184971053,6954756.099643399,5891993.219467301,3424365.32769825,4105932.030261648,5146580.251411948,4244266.312041847,3617198.2181395995,7176728.095133353,7991607.319038803,6949104.886337198,7502564.26084125,6759924.1425662,4056249.488835451,4462074.23215195,4848012.97422275,5106583.252115601,3748663.942479049,11350380.210693497,12081224.1847963,12627227.096226446,10975813.779148698,15729763.655781198,5791912.806716149,6014669.287543353,5591203.282420752,6891659.307086899,7996572.926575849,13309390.59985275,17449187.76949045,16561923.015397198,25137698.24063785,17647609.8760022,6597084.252303348,8537002.43022915,6789307.204205902,10834908.1829001,9097330.9160376
2024-08-16,5808242.251788399,7318651.794296047,8414788.870471053,7012765.874643401,5946557.821467301,3465714.6876982497,4146236.8802616484,5193496.779411948,4285572.725041848,3653533.0251395996,7267510.405133353,8071613.189038801,7022019.505837198,7443881.83504125,6808026.5920662,4092322.498835451,4488571.90215195,4880529.380722751,5099562.5659156,3779104.7569790487,11459333.820693498,12218241.214796301,12947262.596226446,11244699.739148697,16131720.2557812,5824139.946716149,6056719.197543353,5687027.752420752,7023290.547086899,8137736.35657585,13448692.599852752,17606700.73949045,16970112.7253972,25781218.03063785,18061926.7060022,6636549.642303348,8592954.76022915,6905194.6542059025,11072289.4829001,9273273.7260376
2024-08-19,5873711.651788399,7401553.0542960465,8350108.847071054,6994325.537143401,5961460.779867301,3479937.8976982497,4161478.110261649,5168510.673011949,4265038.109541847,3656202.9355396,7364511.985133352,8191607.329038803,6892280.311237197,7324948.54234125,6740204.327466199,4119175.2188354507,4516141.82215195,4826443.7905227505,5025006.170615601,3752829.1683790493,11551441.740693498,12362716.694796301,13336075.006226445,11499181.639148697,16577696.405781198,5842471.106716149,6090340.827543353,5805142.4924207525,7159925.867086899,8268129.406575849,13517671.239852753,17782726.18949045,17540579.3553972,26511079.81063785,18610217.6960022,6659331.092303349,8628953.34022915,7063512.784205902,11329811.152900102,9453176.486037599
2024-08-20,5930515.893428398,7494484.3442960465,8370040.387371053,6977838.962143401,5950054.327067301,3502050.8603932494,4193706.2902616486,5178030.701811949,4258527.288541848,3659645.9537395993,7449015.166323354,8305497.409038801,6753179.031937199,7210778.070941251,6610266.938166199,4143007.244545451,4547788.35215195,4772766.38142275,4969984.9760156,3704207.3120790487,11735162.759788498,12562443.314796302,13623791.036226448,11940164.059148697,16885019.3457812,5897504.238286149,6137034.947543351,5894467.062420751,7357698.657086899,8415307.836575849,13649324.50839275,18254472.62949045,17997566.625397198,27674705.39063785,19087430.4860022,6737279.034808347,8770581.80022915,7212729.264205902,11756564.162900101,9660083.036037602
2024-08-21,5961541.4134284,7561191.904296047,8417563.310171053,7020570.2371434,5991137.014267301,3516836.5203932496,4219349.490261649,5196208.610611949,4277750.133541848,3682183.5769396,7488260.676323352,8382691.299038801,6868118.015137197,7313274.57394125,6726885.131366201,4151339.5445454507,4571003.172151949,4820666.70982275,5014005.143015601,3750731.423279049,11614377.079788497,12476548.244796304,13400452.416226445,11884182.189148696,16657014.425781198,5856670.858286149,6125116.377543353,5836762.582420751,7319102.937086899,8306707.79657585,13526143.32839275,18366892.76949045,17690840.2253972,27444944.470637847,18769606.546002198,6686308.064808348,8830476.620229151,7135998.384205902,11684882.8229001,9512072.806037601
2024-08-22,6019317.003428399,7650352.904296046,8459298.658371054,7079344.1371434005,6039865.461067302,3534116.04039325,4244544.030261649,5213145.857811948,4298277.097541848,3716375.6977395993,7568430.766323352,8490345.679038802,6837106.9109371975,7349841.44154125,6731379.777166199,4173049.244545451,4598135.47215195,4815338.80442275,5032561.5694156,3768713.6410790486,11572283.259788498,12691716.6147963,13383786.816226447,11838888.149148697,16670090.075781198,5879573.068286149,6225317.767543351,5865148.712420752,7310867.527086898,8305534.86657585,13669926.36839275,18696910.199490447,17736476.8153972,27361470.21063785,18777345.616002202,6690896.634808348,8980793.24022915,7164212.134205902,11654684.6729001,9505912.7960376
2024-08-23,6021681.9434284,7644747.154296047,8517018.809371052,6997536.2996434,6044096.765067302,3531967.830393249,4241009.240261649,5236620.213811949,4265457.648041847,3725683.1217395994,7586884.916323353,8470760.129038801,6834435.019937199,7217680.063241251,6724497.3161662,4173729.7545454507,4594301.11215195,4821324.47742275,4977834.5557156,3765198.1100790487,11541614.839788498,12719097.184796302,13300188.526226446,11746146.399148697,16531295.3357812,5870528.2882861495,6220710.587543352,5817748.50242075,7262593.547086899,8260054.236575849,13678255.67839275,18866002.44949045,17562839.8653972,27111486.08063785,18614951.6860022,6673987.104808348,9029450.36022915,7100314.474205902,11574954.5929001,9444403.3860376
2024-08-26,6018486.2034284,7640031.084296048,8509875.149671052,7008793.1246434,6047038.102267301,3532829.21039325,4240081.190261648,5234058.872611947,4277358.745041847,3730796.0099396,7557316.446323352,8442562.869038802,6791587.300637199,7233485.53304125,6689499.2568662,4169489.2645454505,4588164.78215195,4804275.668322749,4987634.7479156,3759491.8937790487,11634196.999788499,12703111.8547963,13446182.536226448,11988048.159148697,16692573.8957812,5904919.268286149,6227292.057543353,5841589.692420752,7353519.657086899,8269476.95657585,13816727.02839275,19017582.14949045,17788934.2653972,27671633.39063785,18795971.756002195,6721413.744808348,9077561.180229152,7160588.964205902,11811776.0629001,9464510.5260376
2024-08-27,5981140.8294533985,7593158.428571047,8449382.360051602,6958047.2205809,6034634.047867302,3519919.2989882496,4220828.366001649,5210233.543404749,4258268.450844348,3718377.6485396,7530707.229423352,8377444.016413801,6739955.138085147,7193775.562027749,6662956.0529662,4153291.8400704507,4570059.342481948,4784518.5638443995,4973597.119144101,3752362.4088790487,11742007.4754135,12909763.4336913,13610062.033401448,12137360.283233697,17040821.255781196,5938455.363186149,6309377.084843352,5912990.155575752,7453719.942651898,8393919.67657585,13938462.594567752,19331155.51724545,17959592.949212197,27943793.51963285,19070666.026002202,6761252.419608347,9201810.24393915,7211700.132925903,11911611.8949701,9571702.766037598
2024-08-28,5967892.669453399,7565917.098571049,8406174.410051603,6915446.840580899,6004036.922667302,3508615.818988249,4202626.936001649,5189278.583404749,4247150.320844348,3702009.8823395995,7500648.2294233525,8326898.026413802,6706294.178085148,7151623.3620277485,6619193.8292662,4142506.7200704506,4553343.752481949,4767799.1038444005,4960439.419144101,3742517.5321790488,11912648.0654135,13038080.923691299,13786931.043401448,12327513.453233698,17346637.715781197,5982716.153186148,6375609.364843352,5983572.195575752,7550559.742651898,8482965.846575849,14060784.734567752,19527019.40724545,18077891.0492122,28176486.58963285,19419692.796002194,6814825.379608348,9297432.183939148,7276545.202925903,12032358.8449701,9680881.4560376
