date,n100_control,n100_th0.1_w5,n100_th0.1_w20,n100_th0.1_w40,n100_th0.125_w5,n100_th0.125_w20,n100_th0.125_w40,n100_th0.15_w5,n100_th0.15_w20,n100_th0.15_w40,n100_th0.2_w5,n100_th0.2_w20,n100_th0.2_w40,n100_th0.25_w5,n100_th0.25_w20,n100_th0.25_w40,mid_control,mid_th0.1_w5,mid_th0.1_w20,mid_th0.1_w40,mid_th0.125_w5,mid_th0.125_w20,mid_th0.125_w40,mid_th0.15_w5,mid_th0.15_w20,mid_th0.15_w40,mid_th0.2_w5,mid_th0.2_w20,mid_th0.2_w40,mid_th0.25_w5,mid_th0.25_w20,mid_th0.25_w40
2021-10-11,1876477.0474884713,1835964.9063246248,1835964.9063246248,1908959.5971253926,1876516.4647543326,1876516.4647543326,1948766.841028194,1774483.3505336652,1774483.3505336652,1843493.9511640458,1876477.0474884713,1876477.0474884713,1876477.0474884713,1876477.0474884713,1876477.0474884713,1876477.0474884713,2564583.2037248197,2665529.084066577,2665529.084066577,2607801.868750239,2549543.7482775007,2495999.309951361,2287429.301232101,2499331.9996690773,2445797.6702051386,2241090.672630929,2564583.2037248197,2564583.2037248197,2564583.2037248197,2564583.2037248197,2564583.2037248197,2564583.2037248197
2021-10-12,1878387.927488471,1837816.7963246242,1837816.7963246242,1910895.7971253928,1878427.3447543322,1878427.3447543322,1950732.301028194,1776286.290533665,1776286.290533665,1845377.2711640457,1878387.927488471,1878387.927488471,1878387.927488471,1878387.927488471,1878387.927488471,1878387.927488471,2571076.0737248193,2672208.784066577,2672208.784066577,2614371.6687502386,2555940.1482775006,2502300.539951361,2293156.661232101,2505645.1196690775,2451980.5902051385,2246746.712630929,2571076.0737248193,2571076.0737248193,2571076.0737248193,2571076.0737248193,2571076.0737248193,2571076.0737248193
2021-10-13,1920419.4474884714,1878947.0163246247,1878947.0163246247,1953657.7871253926,1920458.8647543327,1920458.8647543327,1994403.601028194,1816044.6905336655,1816044.6905336655,1886691.7011640458,1920419.4474884714,1920419.4474884714,1920419.4474884714,1920419.4474884714,1920419.4474884714,1920419.4474884714,2583121.0837248196,2684804.034066577,2684804.034066577,2626669.2587502385,2567962.328277501,2514033.7299513607,2303947.7612321004,2517386.7696690774,2463466.2802051385,2257264.8726309286,2583121.0837248196,2583121.0837248196,2583121.0837248196,2583121.0837248196,2583121.0837248196,2583121.0837248196
2021-10-14,1940315.0174884712,1898407.9663246246,1898407.9663246246,1973897.9071253925,1940354.4347543325,1940354.4347543325,2015063.4910281939,1834860.7705336655,1834860.7705336655,1906226.6911640456,1940315.0174884712,1940315.0174884712,1940315.0174884712,1940315.0174884712,1940315.0174884712,1940315.0174884712,2622498.57372482,2725795.2640665765,2725795.2640665765,2666818.2887502383,2607164.9382775007,2552399.1499513607,2339083.261232101,2555756.5196690774,2501022.1502051386,2291571.282630929,2622498.57372482,2622498.57372482,2622498.57372482,2622498.57372482,2622498.57372482,2622498.57372482
2021-10-18,1982471.9174884714,1939639.6163246247,1939639.6163246247,2016777.1771253925,1982511.3347543327,1982511.3347543327,2058834.5410281937,1874721.0805336651,1874721.0805336651,1947633.2211640459,1982471.9174884714,1982471.9174884714,1982471.9174884714,1982471.9174884714,1982471.9174884714,1982471.9174884714,2645521.6037248196,2749792.9640665767,2749792.9640665767,2690249.9287502384,2630121.2682775003,2574832.969951361,2359621.171232101,2578229.0396690774,2523049.4602051387,2311662.9826309285,2645521.6037248196,2645521.6037248196,2645521.6037248196,2645521.6037248196,2645521.6037248196,2645521.6037248196
2021-10-19,1954638.3674884713,1912389.9763246246,1912389.9763246246,1988466.2271253925,1954677.7847543326,1954677.7847543326,2029913.491028194,1848393.4005336654,1848393.4005336654,1920277.941164046,1954638.3674884713,1954638.3674884713,1954638.3674884713,1954638.3674884713,1954638.3674884713,1954638.3674884713,2625016.1937248195,2728623.9640665767,2728623.9640665767,2669437.1187502383,2609866.9182775007,2554906.9699513605,2341427.281232101,2558278.319669077,2503590.9502051384,2293749.292630929,2625016.1937248195,2625016.1937248195,2625016.1937248195,2625016.1937248195,2625016.1937248195,2625016.1937248195
2021-10-20,1954598.7174884712,1912331.8763246248,1912331.8763246248,1988434.8471253924,1954638.1347543325,1954638.1347543325,2029867.7210281943,1848363.4305336652,1848363.4305336652,1920259.0811640462,1954598.7174884712,1954598.7174884712,1954598.7174884712,1954598.7174884712,1954598.7174884712,1954598.7174884712,2601442.6837248197,2704104.014066577,2704104.014066577,2645389.0387502387,2586388.5382775003,2531905.1399513613,2320454.941232101,2535278.3296690774,2481138.6102051386,2273259.652630929,2601442.6837248197,2601442.6837248197,2601442.6837248197,2601442.6837248197,2601442.6837248197,2601442.6837248197
2021-10-21,1975417.5474884715,1932689.8463246245,1932689.8463246245,2009612.5471253924,1975456.9647543328,1975456.9647543328,2051480.051028194,1868050.1005336652,1868050.1005336652,1940677.651164046,1975417.5474884715,1975417.5474884715,1975417.5474884715,1975417.5474884715,1975417.5474884715,1975417.5474884715,2559757.2237248197,2660737.5240665767,2660737.5240665767,2602848.7587502385,2544893.0882775006,2491266.0899513606,2283272.761232101,2494664.0996690774,2441379.440205138,2236983.7226309287,2559757.2237248197,2559757.2237248197,2559757.2237248197,2559757.2237248197,2559757.2237248197,2559757.2237248197
2021-10-22,1957935.6674884711,1915555.6763246248,1915555.6763246248,1991821.9171253925,1957975.0847543324,1957975.0847543324,2033293.3710281942,1851506.0105336653,1851506.0105336653,1923476.6611640458,1957935.6674884711,1957935.6674884711,1957935.6674884711,1957935.6674884711,1957935.6674884711,1957935.6674884711,2534361.5237248195,2634365.654066577,2634365.654066577,2577013.5687502385,2519694.908277501,2466579.599951361,2260634.4812321006,2469956.839669077,2417135.830205139,2214813.9326309287,2534361.5237248195,2534361.5237248195,2534361.5237248195,2534361.5237248195,2534361.5237248195,2534361.5237248195
2021-10-25,1952328.067488471,1910133.6663246246,1910133.6663246246,1986137.2971253926,1952367.4847543323,1952367.4847543323,2027543.431028194,1846219.6005336652,1846219.6005336652,1918009.881164046,1952328.067488471,1952328.067488471,1952328.067488471,1952328.067488471,1952328.067488471,1952328.067488471,2497046.5137248198,2595483.044066577,2595483.044066577,2538977.9787502387,2482474.038277501,2430187.9099513604,2227301.0612321007,2433550.879669077,2381414.7602051385,2182279.142630929,2497046.5137248198,2497046.5137248198,2497046.5137248198,2497046.5137248198,2497046.5137248198,2497046.5137248198
