old,new,effective,circular,names
KAVVERITEL,KAVDEFENCE,2025-06-23,CML68578.pdf,Kavveri Telecom Products Kavveri Defence &
SATINDLTD,AEROENTER,2025-06-25,CML68627.pdf,Sat Industries Limited Aeroflex Enterprises Limited
KBCGLOBAL,DHARAN,2025-06-26,CML68648.pdf,KBC Global Limited DHARAN INFRA-EPC
BINANIIND,BILVYAPAR,2025-07-14,CML69007.pdf,Binani Industries Limited BIL VYAPAR LIMITED
TIMESGTY,TEAMGTY,2025-08-13,CML69550.pdf,Times Guaranty Limited Team India Guaranty Limited
SAH,AERONEU,2025-08-22,CML69699.pdf,Sah Polymers Limited Aeroflex Neu Limited
GEPIL,GVPIL,2025-08-28,CML69775.pdf,GE Power India Limited
HOVS,HGM,2025-09-03,CML69880.pdf,HOV Services Limited HandsOn Global
SWANENERGY,SWANCORP,2025-09-04,CML69907.pdf,Swan Energy Limited SWAN CORP LIMITED
GANESHHOUC,GANESHHOU,2025-09-15,CML70105.pdf,Ganesh Housing GANESH HOUSING
ITDCEM,CEMPRO,2025-09-17,CML70147.pdf,ITD Cementation India Cemindia Projects Limited
SELAN,ANTELOPUS,2025-09-22,CML70219.pdf,Selan Exploration Technology Limited Antelopus Selan Energy Limited
WORTH,WORTHPERI,2025-10-10,CML70638.pdf,Worth Peripherals Limited
AARVEEDEN,VGL,2025-10-13,CML70664.pdf,Aarvee Denims & Exports VARVEE GLOBAL LIMITED
SUNDARMHLD,TSFINV,2025-10-16,CML70756.pdf,Sundaram Finance TSF INVESTMENTS LIMITED
GODHA,AURIGROW,2025-10-17,CML70780.pdf,Godha Cabcon & Insulation Auri Grow India Limited
TATAMOTORS,TMPV,2025-10-24,CML70875.pdf,Tata Motors Tata Motors Passenger Vehicles Limited
YAARI,IBULLSLTD,2025-11-10,CML71055.pdf,Yaari Digital Integrated Indiabulls Limited
SMLISUZU,SMLMAH,2025-11-10,CML71094.pdf,SML Isuzu Limited SML Mahindra Limited
AURDIS,ALCODIS,2025-11-18,CML71248.pdf,Aurangabad Distillery Alcokraft Distilleries Limited
SMSLIFE,HALEOSLABS,2025-11-26,CML71379.pdf,SMS Lifesciences India HALEOS LABS
CREATIVE,CNL,2025-12-10,CML71686.pdf,Creative Newtech Limited
DSP,GOLD,2025-12-15,CML71704.pdf,ETF INF740KA1SW3 GOLDETFADD GOLDADD
LAWSIKHO,ADDICTIVE,2025-12-17,CML71744.pdf,Addictive Learning Technology Limited
JCHAC,BOSCH-HCIL,2025-12-24,CML71871.pdf,Johnson Controls - BOSCH HOME COMFORT
UTI,BSE,2025-12-24,CML71881.pdf,Sensex ETF INF789FB1X58 UTISENSETF SENSEXBETA
INF789F1AUW9,UTINEXT50,2025-12-24,CML71881.pdf,NEXT50BETA
INF789F1AYX9,NIFMID150,2025-12-24,CML71881.pdf,MIDCAPBETA
INF789F1AZF3,NIF10GETF,2025-12-24,CML71881.pdf,GILT10BETA
INF789F1AZE6,NIF5GETF,2025-12-24,CML71881.pdf,GILT5BETA
INF789F1AUX7,GOLDSHARE,2025-12-24,CML71881.pdf,GOLDBETA
INF789F1AYK6,SILVERETF,2025-12-24,CML71881.pdf,SILVERBETA
DRL,DIRL,2026-01-02,CML72032.pdf,Dhanuka Realty Limited Dhanuka Infra Realty Limited
SGLTL,SETL,2026-01-19,CML72266.pdf,Standard Glass Lining Standard Engineering
HEUBACHIND,SUDARCOLOR,2026-01-20,CML72287.pdf,Heubach Colorants India Sudarshan Colorants India
SEQUENT,VIYASH,2026-01-23,CML72374.pdf,Sequent Scientific Limited Viyash Scientific Limited
AMJUMBO,PARAMPARA,2026-01-23,CML72395.pdf,A and M Jumbo Bags PARAMPARA DAIRY
